,Age,Occupation,Race,Sex,HoursPerWeek,EducationNum
2088,31, Adm-clerical, White, Female,40,9
2089,37, Other-service, White, Male,44,9
2090,42, Sales, White, Male,45,12
2091,29, ?, White, Male,40,13
2092,35, Sales, White, Male,50,10
2093,51, Sales, White, Male,47,13
2094,22, ?, White, Male,36,10
2095,49, Craft-repair, White, Male,40,10
2096,26, Prof-specialty, Asian-Pac-Islander, Male,16,13
2097,56, Adm-clerical, White, Female,46,9
2098,52, Prof-specialty, White, Male,45,10
2099,61, Craft-repair, White, Male,4,14
2100,47, Exec-managerial, White, Female,40,13
2101,52, Craft-repair, White, Male,40,11
2102,30, Craft-repair, White, Female,40,9
2103,43, Sales, White, Male,55,10
2104,35, Transport-moving, Asian-Pac-Islander, Male,40,10
2105,17, ?, White, Male,40,8
2106,42, Craft-repair, White, Male,40,9
2107,26, Craft-repair, Black, Female,35,10
2108,58, Farming-fishing, White, Male,40,9
2109,66, Sales, White, Male,40,10
2110,30, Protective-serv, White, Male,60,9
2111,46, Adm-clerical, White, Female,40,10
2112,45, Adm-clerical, White, Female,35,10
2113,57, Sales, White, Female,40,9
2114,25, Exec-managerial, White, Male,40,13
2115,21, Tech-support, White, Female,10,10
2116,37, Craft-repair, White, Male,55,9
2117,45, Prof-specialty, White, Female,30,14
2118,61, ?, White, Female,5,16
2119,39, Craft-repair, White, Male,40,9
2120,42, Adm-clerical, White, Female,53,9
2121,20, Machine-op-inspct, White, Female,40,9
2122,23, Protective-serv, Black, Male,16,9
2123,25, Tech-support, White, Male,40,13
2124,47, Priv-house-serv, White, Female,40,3
2125,24, Sales, White, Male,45,9
2126,20, ?, Asian-Pac-Islander, Female,15,10
2127,35, Craft-repair, White, Male,70,9
2128,44, Other-service, Black, Female,38,9
2129,47, Prof-specialty, White, Male,50,10
2130,28, Adm-clerical, Asian-Pac-Islander, Female,40,7
2131,41, Prof-specialty, White, Female,60,14
2132,31, Adm-clerical, White, Female,40,9
2133,27, Exec-managerial, White, Female,25,14
2134,47, Craft-repair, White, Male,40,11
2135,44, Sales, Asian-Pac-Islander, Female,40,9
2136,61, Priv-house-serv, White, Female,40,10
2137,42, Adm-clerical, White, Female,40,10
2138,46, Other-service, White, Female,28,9
2139,46, Exec-managerial, White, Male,50,13
2140,54, Prof-specialty, White, Female,38,14
2141,49, Tech-support, White, Male,40,9
2142,56, Adm-clerical, White, Female,40,10
2143,52, Prof-specialty, White, Female,40,14
2144,34, Transport-moving, White, Male,40,9
2145,25, Craft-repair, White, Male,40,9
2146,18, Prof-specialty, White, Female,40,7
2147,58, Machine-op-inspct, White, Male,40,9
2148,31, Prof-specialty, White, Male,40,13
2149,29, Craft-repair, White, Male,55,10
2150,28, Machine-op-inspct, Black, Male,40,7
2151,30, Adm-clerical, White, Male,48,10
2152,21, ?, White, Male,30,10
2153,44, Prof-specialty, White, Male,35,14
2154,75, Priv-house-serv, White, Female,70,6
2155,66, ?, White, Male,40,7
2156,26, Craft-repair, Black, Male,40,10
2157,33, Sales, White, Male,50,13
2158,57, Sales, White, Male,65,14
2159,47, Sales, White, Male,55,3
2160,41, Exec-managerial, White, Male,40,9
2161,21, Other-service, White, Female,37,10
2162,17, Craft-repair, White, Male,17,7
2163,61, ?, White, Male,55,13
2164,47, ?, White, Female,8,9
2165,22, Other-service, Black, Female,15,10
2166,47, Sales, White, Male,40,9
2167,45, Exec-managerial, White, Male,40,13
2168,32, Sales, White, Male,50,11
2169,59, Priv-house-serv, Black, Female,30,6
2170,38, Craft-repair, White, Male,50,9
2171,33, Protective-serv, White, Female,40,9
2172,41, Machine-op-inspct, White, Male,40,9
2173,51, Transport-moving, White, Male,40,5
2174,42, Sales, White, Male,48,9
2175,27, Prof-specialty, White, Female,40,13
2176,60, Craft-repair, White, Male,45,10
2177,64, Adm-clerical, White, Female,35,9
2178,37, Machine-op-inspct, White, Male,40,12
2179,54, Exec-managerial, White, Male,45,13
2180,36, Exec-managerial, White, Female,50,12
2181,34, Prof-specialty, White, Male,40,13
2182,41, Sales, White, Male,5,14
2183,35, Farming-fishing, White, Male,75,4
2184,63, Sales, White, Male,68,14
2185,46, Craft-repair, White, Male,40,9
2186,47, Prof-specialty, White, Male,40,14
2187,24, Machine-op-inspct, White, Male,65,13
2188,29, Sales, White, Male,30,10
2189,74, Transport-moving, White, Female,18,10
2190,50, Transport-moving, White, Male,70,7
2191,22, Adm-clerical, White, Female,40,10
2192,48, Adm-clerical, Black, Female,40,8
2193,30, Handlers-cleaners, White, Male,40,5
2194,32, Sales, White, Male,40,13
2195,39, Machine-op-inspct, White, Male,40,9
2196,49, Craft-repair, White, Male,40,10
2197,25, Adm-clerical, White, Female,40,13
2198,50, Adm-clerical, White, Female,40,13
2199,44, Transport-moving, White, Male,40,9
2200,65, Farming-fishing, White, Male,60,11
2201,28, Adm-clerical, White, Male,60,12
2202,55, Adm-clerical, White, Female,40,13
2203,49, Prof-specialty, White, Female,50,13
2204,31, Exec-managerial, White, Female,12,9
2205,47, Machine-op-inspct, Black, Female,40,9
2206,45, Transport-moving, White, Male,40,9
2207,35, Other-service, Black, Female,40,9
2208,34, Sales, Asian-Pac-Islander, Male,60,13
2209,49, Protective-serv, Black, Male,40,9
2210,39, ?, White, Female,35,10
2211,27, Other-service, White, Female,42,9
2212,42, Handlers-cleaners, White, Male,40,9
2213,60, ?, White, Male,30,3
2214,64, Other-service, White, Male,40,9
2215,33, Sales, White, Male,48,10
2216,23, Adm-clerical, White, Female,40,10
2217,45, Exec-managerial, White, Male,50,14
2218,34, Machine-op-inspct, Black, Female,40,9
2219,53, Sales, White, Female,37,9
2220,22, Craft-repair, White, Male,30,6
2221,57, Other-service, White, Female,35,9
2222,20, ?, White, Female,8,10
2223,23, Craft-repair, Black, Male,40,4
2224,31, Transport-moving, White, Male,40,7
2225,23, Tech-support, White, Male,22,13
2226,30, Adm-clerical, White, Female,40,9
2227,32, Prof-specialty, White, Female,50,13
2228,42, Adm-clerical, Black, Female,40,12
2229,51, Transport-moving, White, Male,40,4
2230,59, Sales, White, Male,40,13
2231,36, Exec-managerial, White, Female,40,13
2232,45, Sales, Black, Male,40,9
2233,35, Sales, White, Male,50,11
2234,33, Machine-op-inspct, White, Male,40,4
2235,43, Prof-specialty, White, Female,40,11
2236,60, Tech-support, White, Female,40,9
2237,37, Prof-specialty, White, Male,55,13
2238,35, Tech-support, White, Female,40,10
2239,36, Adm-clerical, White, Male,52,10
2240,38, Prof-specialty, White, Male,50,15
2241,54, Craft-repair, White, Male,40,4
2242,51, Handlers-cleaners, White, Male,40,11
2243,45, Craft-repair, White, Male,45,12
2244,63, Exec-managerial, White, Female,40,10
2245,51, Craft-repair, White, Male,40,10
2246,58, Sales, White, Male,18,14
2247,64, Adm-clerical, White, Female,40,9
2248,20, Handlers-cleaners, White, Male,40,10
2249,44, Adm-clerical, Asian-Pac-Islander, Male,40,13
2250,39, Exec-managerial, White, Female,48,13
2251,45, Adm-clerical, White, Female,40,10
2252,44, Adm-clerical, White, Male,55,16
2253,22, Exec-managerial, White, Female,40,10
2254,63, Exec-managerial, White, Male,40,9
2255,26, Other-service, Black, Male,40,11
2256,42, Farming-fishing, White, Male,45,13
2257,20, Other-service, White, Female,25,9
2258,29, Sales, White, Male,40,14
2259,38, Exec-managerial, Asian-Pac-Islander, Male,40,13
2260,25, Transport-moving, White, Male,40,9
2261,27, Craft-repair, White, Male,50,13
2262,46, Adm-clerical, White, Female,40,11
2263,31, Craft-repair, White, Male,60,10
2264,24, Exec-managerial, White, Male,35,11
2265,43, Sales, White, Male,50,10
2266,23, Machine-op-inspct, White, Male,21,8
2267,32, Transport-moving, Black, Female,37,9
2268,44, Craft-repair, White, Male,40,9
2269,40, Sales, White, Male,40,13
2270,38, Craft-repair, White, Male,40,9
2271,23, Machine-op-inspct, White, Male,40,11
2272,19, Sales, White, Female,10,10
2273,41, Sales, White, Male,40,10
2274,48, Craft-repair, White, Male,40,9
2275,23, Machine-op-inspct, White, Male,40,10
2276,47, Other-service, White, Female,35,12
2277,42, Craft-repair, White, Male,40,9
2278,17, Sales, White, Female,10,6
2279,29, Prof-specialty, White, Female,70,15
2280,21, Prof-specialty, White, Female,20,10
2281,18, ?, White, Male,27,7
2282,31, Other-service, White, Male,40,9
2283,27, Prof-specialty, White, Female,40,13
2284,29, Prof-specialty, White, Male,40,16
2285,23, Sales, White, Female,45,13
2286,41, Prof-specialty, Asian-Pac-Islander, Male,55,14
2287,46, Prof-specialty, White, Male,35,13
2288,34, Protective-serv, Black, Female,25,10
2289,42, Craft-repair, White, Male,24,9
2290,18, Handlers-cleaners, White, Female,15,9
2291,46, Craft-repair, White, Male,37,9
2292,18, ?, White, Male,15,7
2293,52, Craft-repair, White, Male,40,10
2294,56, Craft-repair, White, Female,40,9
2295,21, Machine-op-inspct, White, Male,40,11
2296,22, Craft-repair, White, Male,20,9
2297,31, Adm-clerical, White, Female,45,13
2298,41, Other-service, White, Male,60,9
2299,25, Adm-clerical, White, Female,40,10
2300,43, Exec-managerial, White, Male,60,13
2301,45, Sales, White, Female,40,9
2302,26, Tech-support, White, Male,60,10
2303,90, Other-service, Asian-Pac-Islander, Male,35,10
2304,45, Sales, White, Male,40,13
2305,30, Other-service, White, Female,40,13
2306,42, Craft-repair, White, Male,40,10
2307,20, Handlers-cleaners, White, Male,35,10
2308,53, Prof-specialty, White, Male,40,13
2309,64, Adm-clerical, White, Female,38,9
2310,56, Transport-moving, White, Male,20,4
2311,42, Prof-specialty, White, Male,40,10
2312,26, Sales, White, Female,40,13
2313,31, Adm-clerical, Amer-Indian-Eskimo, Female,40,12
2314,40, Adm-clerical, White, Female,40,13
2315,58, Craft-repair, White, Male,40,10
2316,41, Exec-managerial, White, Male,40,13
2317,58, Sales, White, Male,47,9
2318,62, Prof-specialty, White, Male,60,14
2319,65, Sales, White, Male,60,13
2320,40, Craft-repair, White, Male,40,10
2321,45, Protective-serv, White, Male,40,10
2322,22, Craft-repair, White, Male,55,9
2323,23, ?, Asian-Pac-Islander, Male,20,10
2324,63, Exec-managerial, White, Male,50,14
2325,39, Exec-managerial, White, Male,50,13
2326,37, Craft-repair, White, Male,40,10
2327,25, ?, White, Male,40,13
2328,56, Farming-fishing, White, Male,50,7
2329,32, Sales, White, Male,50,10
2330,53, Exec-managerial, Asian-Pac-Islander, Female,40,10
2331,32, Prof-specialty, White, Male,40,11
2332,23, Transport-moving, White, Male,60,7
2333,35, Transport-moving, White, Male,90,7
2334,51, Exec-managerial, White, Male,65,10
2335,19, Adm-clerical, White, Female,20,10
2336,41, Machine-op-inspct, White, Male,40,7
2337,22, Transport-moving, White, Male,25,6
2338,23, Tech-support, White, Female,40,9
2339,36, Exec-managerial, Asian-Pac-Islander, Male,40,14
2340,27, ?, White, Female,25,10
2341,45, Craft-repair, White, Male,40,11
2342,23, Farming-fishing, White, Male,25,9
2343,21, Other-service, Black, Female,40,7
2344,44, Exec-managerial, White, Male,40,14
2345,29, Sales, White, Male,40,13
2346,36, Tech-support, White, Male,60,11
2347,18, Handlers-cleaners, White, Male,40,5
2348,62, Craft-repair, White, Male,40,8
2349,25, Exec-managerial, Black, Male,40,10
2350,34, Exec-managerial, White, Female,45,12
2351,31, Exec-managerial, White, Female,50,13
2352,37, Exec-managerial, White, Male,40,13
2353,33, Farming-fishing, White, Male,40,13
2354,22, ?, White, Female,30,10
2355,28, Sales, White, Male,30,12
2356,22, ?, White, Male,25,10
2357,47, Other-service, White, Male,40,9
2358,67, ?, White, Male,3,7
2359,20, ?, White, Male,40,6
2360,34, Exec-managerial, White, Male,70,13
2361,26, Prof-specialty, White, Male,60,15
2362,36, Craft-repair, White, Male,44,10
2363,28, Handlers-cleaners, White, Male,40,9
2364,22, Transport-moving, Black, Male,40,9
2365,47, Other-service, Black, Female,35,10
2366,33, Adm-clerical, White, Male,45,11
2367,34, Prof-specialty, White, Female,40,14
2368,25, Craft-repair, White, Male,40,9
2369,37, Handlers-cleaners, White, Male,50,5
2370,36, Protective-serv, White, Male,40,9
2371,61, Prof-specialty, White, Male,30,13
2372,74, ?, White, Male,40,5
2373,57, Craft-repair, White, Male,40,10
2374,55, Prof-specialty, White, Male,40,16
2375,20, Sales, Black, Female,40,9
2376,43, Sales, Black, Female,44,9
2377,54, Machine-op-inspct, White, Male,40,9
2378,25, Adm-clerical, White, Female,40,10
2379,42, Exec-managerial, White, Male,40,10
2380,23, ?, White, Female,35,10
2381,17, Craft-repair, White, Male,10,7
2382,39, ?, White, Male,40,9
2383,63, Other-service, Amer-Indian-Eskimo, Female,40,4
2384,19, Exec-managerial, White, Female,30,10
2385,56, Sales, White, Male,50,13
2386,33, Sales, White, Male,45,13
2387,37, Farming-fishing, White, Male,50,13
2388,27, Transport-moving, White, Male,45,4
2389,36, Adm-clerical, White, Male,40,13
2390,30, Exec-managerial, White, Male,65,9
2391,22, Prof-specialty, White, Male,55,13
2392,35, Handlers-cleaners, White, Male,40,10
2393,20, Handlers-cleaners, White, Male,45,9
2394,18, Sales, White, Female,40,10
2395,25, Machine-op-inspct, White, Male,40,8
2396,53, Prof-specialty, White, Female,54,14
2397,21, ?, White, Female,40,10
2398,19, Sales, White, Female,35,9
2399,34, Machine-op-inspct, White, Male,30,9
2400,32, Adm-clerical, Black, Female,40,10
2401,20, Machine-op-inspct, Amer-Indian-Eskimo, Male,40,10
2402,70, Other-service, White, Male,25,4
2403,57, Exec-managerial, White, Male,40,13
2404,54, Sales, White, Male,50,10
2405,34, Machine-op-inspct, White, Male,40,11
2406,48, Exec-managerial, White, Male,40,10
2407,42, Other-service, White, Female,40,7
2408,45, Adm-clerical, White, Male,40,9
2409,27, Other-service, White, Male,40,10
2410,51, Other-service, White, Male,40,6
2411,36, Adm-clerical, White, Female,65,10
2412,33, Exec-managerial, Asian-Pac-Islander, Male,40,10
2413,50, Farming-fishing, White, Male,40,10
2414,44, Exec-managerial, White, Male,50,13
2415,39, Prof-specialty, White, Male,40,14
2416,55, Farming-fishing, White, Male,25,5
2417,24, Adm-clerical, White, Female,40,10
2418,35, Sales, White, Male,40,9
2419,32, Craft-repair, White, Male,40,8
2420,66, ?, White, Male,40,13
2421,68, Adm-clerical, White, Female,30,9
2422,29, Transport-moving, White, Male,60,7
2423,24, Sales, White, Male,40,13
2424,61, Machine-op-inspct, White, Male,40,5
2425,34, Machine-op-inspct, White, Male,44,9
2426,55, Prof-specialty, White, Male,35,15
2427,20, ?, White, Male,36,10
2428,41, Sales, White, Female,40,9
2429,36, Farming-fishing, White, Male,84,9
2430,60, Craft-repair, White, Male,40,9
2431,61, Craft-repair, White, Male,52,9
2432,35, Sales, Asian-Pac-Islander, Male,35,15
2433,42, Exec-managerial, White, Male,50,13
2434,26, Tech-support, White, Male,40,13
2435,44, Other-service, Black, Female,40,10
2436,31, Adm-clerical, White, Male,25,14
2437,39, Other-service, Black, Male,40,9
2438,20, Tech-support, White, Female,24,10
2439,32, Craft-repair, White, Male,40,10
2440,32, Sales, White, Male,40,9
2441,61, Machine-op-inspct, Black, Male,20,5
2442,54, Adm-clerical, White, Female,40,10
2443,23, Craft-repair, White, Male,40,12
2444,19, Sales, White, Male,3,9
2445,31, Prof-specialty, Amer-Indian-Eskimo, Male,40,10
2446,35, Handlers-cleaners, White, Male,40,3
2447,29, Other-service, White, Female,25,9
2448,29, Protective-serv, Black, Female,40,9
2449,25, Other-service, White, Female,25,6
2450,46, Sales, White, Female,40,13
2451,35, Other-service, White, Female,30,11
2452,20, Sales, Other, Male,40,6
2453,24, Adm-clerical, White, Female,40,9
2454,48, Adm-clerical, White, Female,37,9
2455,37, Machine-op-inspct, White, Female,40,9
2456,60, Sales, White, Male,40,9
2457,39, Craft-repair, White, Male,40,9
2458,29, Adm-clerical, White, Female,38,10
2459,31, Craft-repair, White, Male,20,11
2460,38, Craft-repair, White, Male,40,11
2461,26, Craft-repair, White, Male,40,12
2462,64, Exec-managerial, White, Male,40,13
2463,46, Protective-serv, Black, Male,40,11
2464,69, ?, White, Male,8,9
2465,39, Sales, White, Male,44,9
2466,48, Machine-op-inspct, White, Female,55,9
2467,46, Sales, White, Female,40,9
2468,42, Sales, White, Male,40,13
2469,39, Sales, Black, Female,54,9
2470,50, Tech-support, White, Male,40,14
2471,24, Prof-specialty, White, Female,40,13
2472,30, Tech-support, White, Female,40,11
2473,39, Sales, White, Male,60,13
2474,29, Craft-repair, White, Male,40,9
2475,23, Transport-moving, White, Female,38,7
2476,21, ?, White, Male,40,11
2477,32, Craft-repair, White, Male,40,6
2478,69, Machine-op-inspct, White, Male,30,13
2479,55, Handlers-cleaners, White, Male,40,9
2480,41, Sales, White, Male,50,10
2481,44, Exec-managerial, White, Male,52,13
2482,18, Adm-clerical, White, Male,40,7
2483,74, Exec-managerial, White, Male,10,13
2484,40, Prof-specialty, White, Male,40,16
2485,27, Craft-repair, White, Male,40,9
2486,75, ?, Black, Male,5,5
2487,55, Adm-clerical, White, Female,40,9
2488,52, Craft-repair, Amer-Indian-Eskimo, Male,40,4
2489,54, Sales, White, Female,48,10
2490,36, Craft-repair, White, Male,48,9
2491,76, ?, White, Male,8,10
2492,26, Handlers-cleaners, White, Female,40,9
2493,18, Craft-repair, White, Male,20,7
2494,38, Exec-managerial, White, Male,50,9
2495,50, Transport-moving, White, Male,40,13
2496,19, ?, White, Female,25,10
2497,32, Exec-managerial, White, Male,60,10
2498,57, Sales, White, Male,40,13
2499,20, Protective-serv, Black, Male,40,9
2500,27, Adm-clerical, White, Female,40,10
2501,31, Exec-managerial, White, Male,60,13
2502,60, Machine-op-inspct, White, Female,40,3
2503,52, Craft-repair, White, Female,50,9
2504,61, Transport-moving, White, Male,40,4
2505,57, Craft-repair, White, Male,55,9
2506,19, ?, White, Male,40,10
2507,59, Sales, White, Male,25,15
2508,34, Craft-repair, White, Male,45,9
2509,31, Craft-repair, Asian-Pac-Islander, Male,50,12
2510,42, Protective-serv, Black, Male,35,9
2511,70, Adm-clerical, White, Female,6,10
2512,47, Adm-clerical, Asian-Pac-Islander, Male,40,13
2513,47, ?, White, Male,40,9
2514,29, Transport-moving, White, Male,45,10
2515,27, Handlers-cleaners, Black, Male,40,7
2516,25, Other-service, White, Female,40,8
2517,51, Exec-managerial, White, Male,60,13
2518,28, Other-service, Black, Female,40,9
2519,35, Craft-repair, White, Male,40,13
2520,36, Craft-repair, White, Male,60,10
2521,54, ?, White, Female,40,14
2522,46, Craft-repair, White, Male,40,11
2523,52, Other-service, White, Female,35,11
2524,65, Machine-op-inspct, White, Male,40,4
2525,43, Machine-op-inspct, White, Male,40,11
2526,41, Prof-specialty, Asian-Pac-Islander, Female,40,9
2527,34, Exec-managerial, White, Female,45,13
2528,47, Exec-managerial, White, Male,30,13
2529,49, Exec-managerial, White, Male,56,14
2530,21, Other-service, White, Female,25,10
2531,20, Other-service, White, Female,25,10
2532,18, Protective-serv, White, Male,40,8
2533,27, Sales, Black, Male,40,10
2534,34, Craft-repair, White, Male,50,9
2535,38, Adm-clerical, White, Female,40,10
2536,24, Adm-clerical, White, Male,40,9
2537,34, Sales, White, Male,65,10
2538,47, Machine-op-inspct, White, Male,50,9
2539,27, Exec-managerial, Black, Female,40,9
2540,63, Adm-clerical, White, Female,8,11
2541,34, Adm-clerical, Black, Male,40,10
2542,25, Sales, White, Male,50,10
2543,54, Machine-op-inspct, White, Male,40,9
2544,19, ?, White, Female,35,10
2545,35, Sales, White, Female,50,9
2546,24, Transport-moving, White, Male,70,10
2547,26, Adm-clerical, Asian-Pac-Islander, Female,35,10
2548,59, Adm-clerical, White, Female,40,11
2549,43, Prof-specialty, White, Female,40,16
2550,20, Other-service, White, Female,40,10
2551,41, Farming-fishing, White, Male,40,9
2552,51, Sales, White, Male,40,10
2553,27, Adm-clerical, Other, Female,40,9
2554,36, Exec-managerial, White, Male,40,9
2555,25, Farming-fishing, White, Male,60,10
2556,55, Sales, White, Male,50,13
2557,22, Prof-specialty, White, Female,21,10
2558,58, Prof-specialty, Asian-Pac-Islander, Male,40,16
2559,43, Adm-clerical, White, Female,15,10
2560,39, Adm-clerical, White, Female,20,11
2561,40, Machine-op-inspct, Black, Female,40,5
2562,46, Exec-managerial, White, Male,45,9
2563,54, Adm-clerical, White, Female,20,9
2564,19, Sales, Black, Male,30,10
2565,24, Adm-clerical, White, Male,40,9
2566,53, ?, White, Male,40,9
2567,24, Prof-specialty, White, Male,13,14
2568,29, Farming-fishing, White, Male,65,9
2569,56, Exec-managerial, White, Male,50,10
2570,54, ?, White, Male,40,9
2571,21, ?, White, Female,30,10
2572,34, Craft-repair, White, Male,40,5
2573,56, Machine-op-inspct, White, Female,40,7
2574,34, Prof-specialty, White, Male,50,13
2575,19, Sales, Black, Female,40,6
2576,32, Sales, White, Male,65,9
2577,48, Adm-clerical, White, Female,52,9
2578,67, ?, Black, Male,40,14
2579,47, Transport-moving, White, Male,25,9
2580,52, Transport-moving, White, Male,60,9
2581,40, Machine-op-inspct, White, Female,40,2
2582,28, Craft-repair, White, Male,50,6
2583,41, Exec-managerial, White, Male,50,13
2584,57, Craft-repair, White, Male,40,2
2585,51, Adm-clerical, White, Female,40,9
2586,26, ?, White, Female,35,7
2587,36, Prof-specialty, Asian-Pac-Islander, Male,45,13
2588,33, Exec-managerial, White, Male,50,10
2589,46, Craft-repair, White, Male,45,13
2590,50, Adm-clerical, Asian-Pac-Islander, Female,40,9
2591,33, Craft-repair, White, Male,40,10
2592,77, Machine-op-inspct, White, Male,20,9
2593,39, Exec-managerial, Black, Male,52,14
2594,67, ?, White, Male,3,9
2595,35, Handlers-cleaners, White, Female,24,12
2596,23, Craft-repair, Black, Female,40,6
2597,37, Prof-specialty, White, Female,45,11
2598,41, Transport-moving, White, Male,50,9
2599,60, Adm-clerical, White, Male,35,12
2600,32, Adm-clerical, White, Male,55,13
2601,56, Transport-moving, Amer-Indian-Eskimo, Male,40,9
2602,45, Tech-support, White, Female,40,11
2603,24, Exec-managerial, White, Female,45,9
2604,18, Handlers-cleaners, White, Male,27,6
2605,31, Other-service, Other, Male,40,9
2606,21, ?, White, Male,50,10
2607,45, Exec-managerial, White, Male,55,13
2608,23, Other-service, White, Female,40,10
2609,45, Exec-managerial, White, Male,40,10
2610,18, Sales, Amer-Indian-Eskimo, Female,25,7
2611,25, Transport-moving, Black, Male,30,9
2612,31, Sales, White, Male,40,9
2613,19, Machine-op-inspct, White, Male,45,9
2614,41, Exec-managerial, White, Male,40,13
2615,74, Adm-clerical, Black, Female,20,15
2616,27, Transport-moving, White, Male,40,3
2617,23, Adm-clerical, White, Female,40,9
2618,31, Sales, White, Male,40,11
2619,40, Handlers-cleaners, White, Male,40,9
2620,41, Transport-moving, White, Male,40,9
2621,25, Sales, White, Male,20,14
2622,42, Craft-repair, Amer-Indian-Eskimo, Male,60,9
2623,24, Craft-repair, White, Female,40,13
2624,42, Craft-repair, White, Male,50,12
2625,45, Craft-repair, White, Male,70,6
2626,52, Exec-managerial, White, Male,40,9
2627,34, Craft-repair, White, Male,40,11
2628,32, Handlers-cleaners, White, Male,60,9
2629,54, Craft-repair, White, Male,45,9
2630,42, Tech-support, White, Male,40,7
2631,32, Tech-support, White, Male,40,13
2632,40, ?, White, Female,20,10
2633,55, Sales, White, Male,60,13
2634,66, ?, White, Male,30,7
2635,52, Prof-specialty, White, Male,40,14
2636,21, Adm-clerical, White, Female,15,10
2637,33, Exec-managerial, White, Female,40,13
2638,52, ?, White, Male,50,11
2639,28, Machine-op-inspct, White, Female,40,3
2640,27, Craft-repair, White, Male,40,7
2641,42, Prof-specialty, White, Female,50,13
2642,27, Adm-clerical, White, Female,45,10
2643,47, Craft-repair, White, Male,40,11
2644,19, Other-service, White, Female,40,9
2645,46, Craft-repair, White, Male,40,10
2646,55, Other-service, White, Female,25,9
2647,50, Sales, Other, Male,49,4
2648,32, Adm-clerical, White, Female,50,10
2649,28, Adm-clerical, White, Female,40,9
2650,23, Adm-clerical, Black, Female,40,9
2651,43, Exec-managerial, White, Male,50,14
2652,34, Prof-specialty, White, Male,40,13
2653,19, Adm-clerical, Asian-Pac-Islander, Male,40,10
2654,37, Exec-managerial, Asian-Pac-Islander, Male,55,10
2655,27, Adm-clerical, Asian-Pac-Islander, Female,40,13
2656,18, Sales, White, Female,24,9
2657,31, Adm-clerical, White, Female,40,10
2658,49, Transport-moving, White, Male,50,9
2659,26, Prof-specialty, White, Male,60,15
2660,48, Craft-repair, White, Male,45,9
2661,39, Craft-repair, Black, Male,40,9
2662,41, Machine-op-inspct, White, Female,40,9
2663,48, Prof-specialty, White, Female,56,11
2664,40, Exec-managerial, White, Female,40,13
2665,70, Sales, White, Male,70,13
2666,20, Handlers-cleaners, White, Male,43,9
2667,38, Other-service, White, Male,75,3
2668,37, Other-service, White, Female,40,10
2669,49, Exec-managerial, White, Female,40,10
2670,51, Handlers-cleaners, White, Male,40,9
2671,43, Sales, White, Male,40,2
2672,38, Prof-specialty, White, Male,50,15
2673,18, ?, White, Male,36,7
2674,23, Other-service, White, Male,25,4
2675,34, Craft-repair, White, Male,40,9
2676,62, ?, White, Male,24,10
2677,33, Adm-clerical, White, Male,40,10
2678,31, Farming-fishing, White, Female,45,10
2679,64, Tech-support, White, Female,40,10
2680,26, Prof-specialty, White, Male,28,13
2681,55, Prof-specialty, White, Male,40,10
2682,61, Prof-specialty, White, Male,40,13
2683,37, Tech-support, White, Male,40,9
2684,78, Exec-managerial, White, Male,15,13
2685,27, Adm-clerical, Black, Female,40,10
2686,49, Prof-specialty, White, Male,42,9
2687,55, Prof-specialty, White, Male,45,14
2688,42, Transport-moving, White, Male,58,13
2689,22, ?, White, Female,40,9
2690,61, Craft-repair, White, Male,40,5
2691,64, Adm-clerical, White, Male,5,13
2692,46, Other-service, White, Male,40,9
2693,24, Exec-managerial, White, Male,40,13
2694,27, Craft-repair, White, Male,70,10
2695,47, Transport-moving, White, Male,55,9
2696,18, Other-service, White, Male,15,10
2697,48, Sales, White, Male,50,9
2698,50, Farming-fishing, White, Male,40,9
2699,40, Prof-specialty, White, Female,45,14
2700,56, Sales, White, Male,40,6
2701,34, Adm-clerical, White, Female,40,9
2702,56, Sales, White, Male,40,13
2703,18, Other-service, White, Male,20,7
2704,21, Other-service, White, Female,25,10
2705,40, Tech-support, White, Female,40,9
2706,27, Handlers-cleaners, White, Male,50,9
2707,52, Prof-specialty, White, Male,45,15
2708,46, Sales, White, Female,30,9
2709,23, Adm-clerical, White, Female,40,9
2710,50, Tech-support, White, Male,45,10
2711,19, Machine-op-inspct, White, Male,50,10
2712,20, Other-service, White, Male,40,9
2713,39, Exec-managerial, White, Female,40,10
2714,24, Craft-repair, White, Male,35,7
2715,72, Adm-clerical, White, Female,40,11
2716,42, Prof-specialty, White, Female,20,14
2717,42, Sales, White, Male,45,13
2718,51, Exec-managerial, Amer-Indian-Eskimo, Male,50,13
2719,39, Sales, White, Male,50,9
2720,40, Adm-clerical, Amer-Indian-Eskimo, Female,35,10
2721,34, Sales, White, Male,55,10
2722,19, Handlers-cleaners, White, Male,40,7
2723,26, Exec-managerial, White, Female,40,9
2724,45, Prof-specialty, White, Female,50,13
2725,28, Prof-specialty, White, Female,40,14
2726,30, Prof-specialty, White, Male,40,13
2727,32, Adm-clerical, White, Female,40,9
2728,19, Other-service, White, Female,25,10
2729,21, Other-service, White, Male,35,9
2730,54, Priv-house-serv, Black, Female,20,9
2731,62, Prof-specialty, White, Male,30,15
2732,25, Other-service, White, Male,48,10
2733,49, Exec-managerial, White, Female,32,10
2734,32, Craft-repair, White, Male,40,9
2735,26, Prof-specialty, White, Male,40,10
2736,37, Protective-serv, White, Male,40,9
2737,58, Sales, White, Female,40,9
2738,37, Adm-clerical, White, Female,45,10
2739,41, Exec-managerial, White, Female,40,9
